direction,entry_price,sl,tp,entry_time,session,vwap_at_entry,balance_at_entry,exit_price,exit_time,exit_reason,pnl_points,pnl_usd,balance,equity
long,46525.31,46486.08879015088,46675.31,2026-03-09 07:05:00,london,46516.08879015088,98470.00687918917,46485.76955955136,2026-03-09 07:15:00,sl,-41.540440448639856,-41.540440448639856,98428.46643874052,98428.46643874052
long,46522.31,46485.65730832316,46672.31,2026-03-09 07:25:00,london,46515.65730832316,98428.46643874052,46485.41876248838,2026-03-09 07:45:00,sl,-38.89123751161969,-38.89123751161969,98389.5752012289,98389.5752012289
long,46533.31,46484.6563853996,46683.31,2026-03-09 08:05:00,london,46514.6563853996,98389.5752012289,46484.62480432702,2026-03-09 08:15:00,sl,-50.685195672980626,-50.685195672980626,98338.89000555592,98338.89000555592
long,46662.31,46486.35212526143,46812.31,2026-03-09 08:20:00,london,46516.35212526143,98338.89000555592,46812.31,2026-03-09 11:30:00,tp,148.0,148.0,98486.89000555592,98486.89000555592
short,46673.1,46757.95057865031,46523.1,2026-03-09 17:05:00,new_york,46727.95057865031,98486.89000555592,46757.15990763538,2026-03-09 17:15:00,sl,-86.05990763538284,-86.05990763538284,98400.83009792054,98400.83009792054
short,47653.98,47690.216478841365,47503.98,2026-03-10 01:10:00,asia,47660.216478841365,98400.83009792054,47503.98,2026-03-10 02:50:00,tp,148.0,148.0,98548.83009792054,98548.83009792054
long,47585.61,47543.222848767735,47735.61,2026-03-10 03:20:00,asia,47573.222848767735,98548.83009792054,47577.3370204116,2026-03-10 05:45:00,sl,-10.27297958840063,-10.27297958840063,98538.55711833213,98538.55711833213
long,47615.61,47556.01686930074,47765.61,2026-03-10 08:00:00,london,47586.01686930074,98538.55711833213,47765.61,2026-03-10 10:20:00,tp,148.0,148.0,98686.55711833213,98686.55711833213
short,47694.71,47729.845472832894,47544.71,2026-03-10 14:35:00,new_york,47699.845472832894,98686.55711833213,47544.71,2026-03-10 15:05:00,tp,148.0,148.0,98834.55711833213,98834.55711833213
long,47696.21,47656.07212170024,47846.21,2026-03-10 16:25:00,new_york,47686.07212170024,98834.55711833213,47656.20246837807,2026-03-10 16:30:00,sl,-42.00753162192996,-42.00753162192996,98792.5495867102,98792.5495867102
short,47680.9,47716.0574132571,47530.9,2026-03-10 16:35:00,new_york,47686.0574132571,98792.5495867102,47715.06152820637,2026-03-10 16:40:00,sl,-36.16152820637217,-36.16152820637217,98756.38805850383,98756.38805850383
long,47673.4,47639.43850755791,47823.4,2026-03-10 17:20:00,new_york,47669.43850755791,98756.38805850383,47823.4,2026-03-10 17:35:00,tp,148.0,148.0,98904.38805850383,98904.38805850383
short,47758.4,47794.38000905657,47608.4,2026-03-10 21:15:00,other,47764.38000905657,98904.38805850383,47794.56817772196,2026-03-10 21:20:00,sl,-38.168177721956454,-38.168177721956454,98866.21988078186,98866.21988078186
short,47732.4,47802.52476913711,47582.4,2026-03-10 22:25:00,other,47772.52476913711,98866.21988078186,47801.773392242605,2026-03-10 22:40:00,sl,-71.37339224260359,-71.37339224260359,98794.84648853926,98794.84648853926
long,47725.58,47675.81764600179,47875.58,2026-03-11 01:10:00,asia,47705.81764600179,98794.84648853926,47664.70223884318,2026-03-11 01:35:00,sl,-62.87776115682209,-62.87776115682209,98731.96872738244,98731.96872738244
long,47703.71,47653.99097357637,47853.71,2026-03-11 02:10:00,asia,47683.99097357637,98731.96872738244,47853.71,2026-03-11 03:15:00,tp,148.0,148.0,98879.96872738244,98879.96872738244
short,47827.21,47861.13620658802,47677.21,2026-03-11 08:45:00,london,47831.13620658802,98879.96872738244,47677.21,2026-03-11 11:35:00,tp,148.0,148.0,99027.96872738244,99027.96872738244
